2518;2001:dc3::;32;1:19:13;1554165891;1554170644;['2518', '7500'];0
2518;103.236.176.0;24;1:34:12;1554230143;1554235795;['2518', '131939', '135607'];0
2518;101.53.98.0;23;0:00:32;1554230491;1554230523;['2518', '4711'];0
2518;2a0b:4340:60::;44;2:01:35;1554591751;1554599046;['2518', '59105', '205603'];0
2518;2a0b:4340:60::;44;0:00:01;1554602468;1554602469;['2518', '59105', '205603'];0
2518;2a0b:4340:60::;44;1:00:05;1554606076;1554609681;['2518', '59105', '205603'];0
2518;2a0b:4340:60::;44;0:00:01;1554613282;1554613283;['2518', '59105', '205603'];0
2518;2a0b:4340:60::;44;1:00:05;1554620493;1554624098;['2518', '59105', '205603'];0
2518;2a0b:4340:60::;44;0:11:43;1554627704;1554628407;['2518', '59105', '205603'];0
2518;2a0b:4340:60::;44;0:00:01;1554629505;1554629506;['2518', '59105', '205603'];0
