15169;2401:fa00:44::/48;0:00:05;1556276444;1556276449;['15169', '24424']
15169;2401:fa00:44::/48;0:00:01;1556276536;1556276537;['15169', '24424']
15169;2401:fa00:44::/48;0:00:07;1556276621;1556276628;['15169', '24424']
15169;2401:fa00:44::/48;0:00:15;1556276671;1556276686;['15169', '24424']
15169;2401:fa00:43::/48;0:00:05;1556273649;1556273654;['15169', '24424']
15169;2401:fa00:41::/48;0:00:05;1556273649;1556273654;['15169', '24424']
15169;2401:fa00:41::/48;0:00:09;1556274368;1556274377;['15169', '24424']
15169;2401:fa00:43::/48;0:00:09;1556274368;1556274377;['15169', '24424']
15169;2401:fa00:41::/48;0:00:01;1556274391;1556274392;['15169', '24424']
15169;2401:fa00:43::/48;0:00:01;1556274391;1556274392;['15169', '24424']
15169;2401:fa00:41::/48;0:00:07;1556274523;1556274530;['15169', '24424']
15169;2401:fa00:43::/48;0:00:07;1556274523;1556274530;['15169', '24424']
15169;2401:fa00:41::/48;0:00:02;1556274640;1556274642;['15169', '24424']
15169;2401:fa00:43::/48;0:00:02;1556274640;1556274642;['15169', '24424']
15169;2401:fa00:41::/48;0:00:05;1556274663;1556274668;['15169', '24424']
15169;2401:fa00:43::/48;0:00:05;1556274663;1556274668;['15169', '24424']
15169;2401:fa00:43::/48;0:00:02;1556274669;1556274671;['15169', '24424']
15169;2401:fa00:41::/48;0:00:02;1556274669;1556274671;['15169', '24424']
15169;2401:fa00:43::/48;0:00:07;1556274674;1556274681;['15169', '24424']
15169;2401:fa00:41::/48;0:00:07;1556274674;1556274681;['15169', '24424']
15169;2401:fa00:41::/48;0:00:05;1556274900;1556274905;['15169', '24424']
15169;2401:fa00:43::/48;0:00:05;1556274900;1556274905;['15169', '24424']
15169;2620:11a:a01a::/48;0:00:20;1556299020;1556299040;['15169', '36040']
15169;104.237.161.0/24;0:00:08;1556299020;1556299028;['15169', '36040']
15169;104.132.155.0/24;0:00:00;1556354784;1556354784;['15169', '36384', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264']
15169;104.132.211.0/24;0:00:01;1556418268;1556418269;['15169', '41264', '41264']
15169;104.132.38.0/24;0:00:38;1556448092;1556448130;['15169', '41264']
15412;202.92.133.0/24;0:00:00;1555898443;1555898443;['15412', '9304', '17639', '131245']
15412;103.225.76.0/24;0:00:57;1555898824;1555898881;['15412', '18101', '133974']
15412;103.116.58.0/24;0:00:09;1555902020;1555902029;['15412', '9304', '132167', '58952', '132132', '4657', '4809', '4134', '3491', '3491', '3491', '137893', '137878']
15412;103.76.161.0/24;0:00:00;1555902465;1555902465;['15412', '135607', '135607', '135607']
15412;209.146.25.0/24;0:00:00;1555902465;1555902465;['15412', '135607', '135607', '135607']
15412;103.136.87.0/24;0:00:21;1555916618;1555916639;['15412', '18101', '132215', '138696']
15412;203.30.201.0/24;0:00:30;1555924002;1555924032;['15412', '4826', '9822']
15412;185.236.36.0/24;0:00:47;1555927672;1555927719;['15412', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '43754', '48551']
15412;103.87.72.0/24;0:00:02;1555927724;1555927726;['15412', '9304', '55355', '132146']
15412;185.236.36.0/24;0:00:50;1555927769;1555927819;['15412', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '43754', '48551']
15412;2.185.16.0/20;0:00:30;1555934443;1555934473;['15412', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '58224']
15412;103.225.76.0/24;0:00:04;1555938233;1555938237;['15412', '18101', '133974']
15412;69.41.33.0/24;0:00:27;1555952905;1555952932;['15412', '18101', '19197', '19197', '19197', '19197', '19197', '19197']
15412;103.18.174.0/24;0:00:00;1555959929;1555959929;['15412', '9304', '45250', '55303']
15412;115.126.105.0/24;0:00:01;1555892101;1555892102;['15412', '9381', '38186']
15412;103.57.226.0/24;0:00:16;1555901715;1555901731;['15412', '18101', '134029', '134029', '134029', '134029', '134029']
15412;196.159.120.0/21;0:00:38;1555904692;1555904730;['15412', '8452', '24835', '36935']
15412;43.228.227.0/24;0:00:28;1555907370;1555907398;['15412', '55644', '58438']
15412;103.17.98.0/24;0:00:28;1555907370;1555907398;['15412', '55644', '58438']
15412;182.161.53.0/24;0:00:27;1555907371;1555907398;['15412', '55644', '58438']
15412;2404:4100::/48;0:00:28;1555907457;1555907485;['15412', '18101', '9885', '55824', '38185']
15412;103.118.162.0/23;0:00:30;1555907483;1555907513;['15412', '4826', '135662']
15412;203.157.88.0/24;0:00:00;1555907816;1555907816;['15412', '9304', '45629', '9649']
15412;103.59.145.0/24;0:00:01;1555912025;1555912026;['15412', '9381', '133199']
15412;103.135.130.0/23;0:00:23;1555918421;1555918444;['15412', '18101', '9885', '55824', '133037']
15412;103.104.24.0/22;0:00:12;1555919861;1555919873;['15412', '9304', '45903', '45903', '45903', '45903', '135929']
15412;103.129.77.0/24;0:00:21;1555921661;1555921682;['15412', '9304', '132167', '135589']
15412;103.129.77.0/24;0:00:14;1555922455;1555922469;['15412', '9304', '132167', '135589']
15412;103.104.24.0/22;0:00:01;1555924323;1555924324;['15412', '9304', '45903', '45903', '45903', '45903', '135929']
15412;146.222.186.0/24;0:00:32;1555924449;1555924481;['15412', '23930', '9927', '13633', '13633', '13633', '13633', '13633']
15412;103.76.206.0/24;0:00:30;1555925269;1555925299;['15412', '55644', '45648', '45648', '45648', '45648', '64088', '64088', '64088', '64088', '64088', '64088', '64088', '64088', '64088', '64088', '64088']
15412;117.103.208.0/20;0:00:00;1555925495;1555925495;['15412', '9304', '38726', '38726', '38248']
15412;103.81.40.0/22;0:00:30;1555926472;1555926502;['15412', '4826', '64006']
15412;103.56.174.0/24;0:00:59;1555928236;1555928295;['15412', '9304', '55329', '38901']
15412;185.236.36.0/24;0:00:46;1555928693;1555928739;['15412', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '43754', '60995']
15412;103.87.72.0/24;0:00:02;1555929766;1555929768;['15412', '9304', '55355', '132146']
15412;103.76.206.0/24;0:00:31;1555929877;1555929908;['15412', '55644', '45648', '45648', '45648', '45648', '64088', '64088', '64088', '64088', '64088', '64088', '64088', '64088', '64088', '64088', '64088']
15412;103.87.72.0/24;0:00:01;1555929917;1555929918;['15412', '9304', '55355', '132146']
15412;41.129.20.0/22;0:00:58;1555936682;1555936740;['15412', '8452', '24863']
15412;202.41.147.0/24;0:00:38;1555942904;1555942942;['15412', '6648', '24081', '24081', '24081', '24081', '24081', '24081']
15412;2404:4100::/48;0:00:54;1555945936;1555945990;['15412', '18101', '9885', '55824', '38185']
15412;43.245.44.0/22;0:00:58;1555946440;1555946498;['15412', '9304', '132167', '133385', '131322', '131322', '131322', '131322', '131322', '131322', '131322', '131322']
15412;122.248.102.0/24;0:00:01;1555949728;1555949729;['15412', '9304', '132167', '133385', '131322', '131322', '131322', '18399']
15412;203.157.15.0/24;0:00:30;1555950100;1555950130;['15412', '45629', '9649']
15412;193.183.144.0/24;0:00:01;1555950405;1555950406;['15412', '9381', '30821']
15412;2404:4100::/48;0:00:56;1555950405;1555950461;['15412', '18101', '9885', '55824', '38185']
15412;103.249.108.0/24;0:00:01;1555953135;1555953136;['15412', '9381', '133199']
15412;103.212.20.0/24;0:00:19;1555954512;1555954531;['15412', '18101', '134910']
15412;2001:df7:9301::/48;0:00:03;1555954567;1555954570;['15412', '18101', '134392']
