15169;2401:fa00:43::/48;0:00:07;0123;0123;['15169', '24424']
15169;2401:fa00:41::/48;0:00:07;0123;0123;['15169', '24424']
15169;2401:fa00:41::/48;0:00:05;0123;0123;['15169', '24424']
15169;2401:fa00:43::/48;0:00:05;0123;0123;['15169', '24424']
15169;2620:11a:a01a::/48;0:00:20;0123;0123;['15169', '36040']
15169;104.237.161.0/24;0:00:08;0123;0123;['15169', '36040']
15169;104.132.155.0/24;0:00:00;0123;0123;['15169', '36384', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264', '41264']
15169;104.132.211.0/24;0:00:01;0123;0123;['15169', '41264', '41264']
15169;104.132.38.0/24;0:00:38;0123;0123;['15169', '41264']
15412;202.92.133.0/24;0:00:00;0123;0123;['15412', '9304', '17639', '131245']
15412;103.225.76.0/24;0:00:57;0123;0123;['15412', '18101', '133974']
15412;103.116.58.0/24;0:00:09;0123;0123;['15412', '9304', '132167', '58952', '132132', '4657', '4809', '4134', '3491', '3491', '3491', '137893', '137878']
15412;103.76.161.0/24;0:00:00;0123;0123;['15412', '135607', '135607', '135607']
15412;209.146.25.0/24;0:00:00;0123;0123;['15412', '135607', '135607', '135607']
15412;103.136.87.0/24;0:00:21;0123;0123;['15412', '18101', '132215', '138696']
15412;203.30.201.0/24;0:00:30;0123;0123;['15412', '4826', '9822']
15412;185.236.36.0/24;0:00:47;0123;0123;['15412', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '43754', '48551']
15412;103.87.72.0/24;0:00:02;0123;0123;['15412', '9304', '55355', '132146']
15412;185.236.36.0/24;0:00:50;0123;0123;['15412', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '43754', '48551']
15412;2.185.16.0/20;0:00:30;0123;0123;['15412', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '12880', '58224']
15412;103.225.76.0/24;0:00:04;0123;0123;['15412', '18101', '133974']
15412;69.41.33.0/24;0:00:27;0123;0123;['15412', '18101', '19197', '19197', '19197', '19197', '19197', '19197']
15412;103.18.174.0/24;0:00:00;0123;0123;['15412', '9304', '45250', '55303']
15412;115.126.105.0/24;0:00:01;0123;0123;['15412', '9381', '38186']
15412;103.57.226.0/24;0:00:16;0123;0123;['15412', '18101', '134029', '134029', '134029', '134029', '134029']
15412;196.159.120.0/21;0:00:38;0123;0123;['15412', '8452', '24835', '36935']
15412;43.228.227.0/24;0:00:28;0123;0123;['15412', '55644', '58438']
15412;103.17.98.0/24;0:00:28;0123;0123;['15412', '55644', '58438']
15412;182.161.53.0/24;0:00:27;0123;0123;['15412', '55644', '58438']
15412;2404:4100::/48;0:00:28;0123;0123;['15412', '18101', '9885', '55824', '38185']
15412;103.118.162.0/23;0:00:30;0123;0123;['15412', '4826', '135662']
15412;203.157.88.0/24;0:00:00;0123;0123;['15412', '9304', '45629', '9649']
15412;103.59.145.0/24;0:00:01;0123;0123;['15412', '9381', '133199']
15412;103.135.130.0/23;0:00:23;0123;0123;['15412', '18101', '9885', '55824', '133037']
15412;103.104.24.0/22;0:00:12;0123;0123;['15412', '9304', '45903', '45903', '45903', '45903', '135929']
15412;103.129.77.0/24;0:00:21;0123;0123;['15412', '9304', '132167', '135589']
15412;103.129.77.0/24;0:00:14;0123;0123;['15412', '9304', '132167', '135589']
15412;103.104.24.0/22;0:00:01;0123;0123;['15412', '9304', '45903', '45903', '45903', '45903', '135929']
15412;146.222.186.0/24;0:00:32;0123;0123;['15412', '23930', '9927', '13633', '13633', '13633', '13633', '13633']
15412;103.76.206.0/24;0:00:30;0123;0123;['15412', '55644', '45648', '45648', '45648', '45648', '64088', '64088', '64088', '64088', '64088', '64088', '64088', '64088', '64088', '64088', '64088']
