49544;89.40.216.0;23;0:01:01;1547615645;1547615706;0
49544;185.143.232.0;24;3:15:22;1547628796;1547640518;0
49544;173.195.43.0;24;12:01:12;1547707098;1547750370;0
49544;173.195.43.0;24;16:36:36;1547776558;1547836354;0
49544;31.131.27.0;24;4:46:17;1547777714;1547794891;0
49544;185.179.200.0;23;0:00:16;1547841323;1547841339;0
49544;173.195.43.0;24;2 days, 12:44:09;1547877724;1548096373;0
49544;185.143.232.0;24;0:16:59;1547954936;1547955955;0
49544;185.143.232.0;24;0:20:16;1548055703;1548056919;0
49544;37.18.43.0;24;0:00:09;1548077565;1548077574;0
