6461;216.249.64.0;19;0:57:25;1546927462;1546930907;0
6461;75.109.156.0;23;0:26:39;1546927496;1546929095;0
6461;103.115.197.0;24;1:19:44;1546927574;1546932358;0
6461;103.115.196.0;24;1:19:14;1546927604;1546932358;0
6461;45.234.104.0;22;0:00:44;1546927643;1546927687;0
6461;179.97.193.0;24;0:00:35;1546930802;1546930837;1
6461;189.76.182.0;24;0:00:34;1546930803;1546930837;0
6461;202.169.231.0;24;0:24:07;1546930946;1546932393;0
6461;103.83.176.0;23;0:21:22;1546930947;1546932229;0
6461;74.119.98.0;23;15:58:08;1546931009;1546988497;0
6461;2001:67c:1718::;48;0:00:23;1546931012;1546931035;0
6461;50.203.214.0;24;0:00:04;1546931070;1546931074;0
6461;12.162.173.0;24;0:00:07;1546931143;1546931150;0
6461;104.156.123.0;24;0:00:07;1546931143;1546931150;0
6461;12.216.40.0;22;0:00:07;1546931145;1546931152;0
6461;202.63.214.0;24;5:02:56;1546931155;1546949331;0
6461;69.176.19.0;24;0:00:05;1546931235;1546931240;0
6461;81.85.191.0;24;0:00:23;1546931272;1546931295;0
6461;138.36.132.0;22;15:53:26;1546931292;1546988498;0
6461;121.52.157.0;24;0:00:29;1546931306;1546931335;0
6461;45.70.204.0;22;0:00:22;1546934430;1546934452;0
6461;209.51.128.0;19;21:38:19;1546934447;1547012346;2
6461;2a00:ad87:4600::;48;1:02:12;1546934509;1546938241;0
6461;2610:38::;32;2:57:15;1546934722;1546945357;0
6461;168.197.232.0;22;0:09:59;1546934875;1546935474;0
6461;45.60.101.0;24;0:00:05;1546938049;1546938054;0
6461;187.108.93.0;24;13:58:45;1546938174;1546988499;1
6461;2a00:ad87:4600::;48;0:03:11;1546938310;1546938501;0
6461;216.163.56.0;24;0:00:30;1546938376;1546938406;0
6461;206.201.139.0;24;0:00:07;1546938427;1546938434;0
6461;207.179.89.0;24;0:00:32;1546938467;1546938499;0
6461;43.252.10.0;23;12:56:12;1546938598;1546985170;0
6461;84.205.79.0;24;2:00:00;1546941601;1546948801;0
6461;84.205.69.0;24;1:59:51;1546941627;1546948818;0
